Date,코스피_Close,코스피_Open,코스피_High,코스피_Low,코스피_Volume,코스피_Change,코스닥_Close,코스닥_Open,코스닥_High,코스닥_Low,코스닥_Volume,코스닥_Change,네이버_Open,네이버_High,네이버_Low,네이버_Close,네이버_Volume,네이버_Change,카카오_Open,카카오_High,카카오_Low,카카오_Close,카카오_Volume,카카오_Change,삼성전자_Open,삼성전자_High,삼성전자_Low,삼성전자_Close,삼성전자_Volume,삼성전자_Change
2021-01-04,2944.45,2874.5,2946.54,2869.11,1030000000.0,0.024700000000000003,977.62,968.86,977.62,960.52,1700000000.0,0.0095,291500,294000,285500,293000,947178,0.0017094017094017033,78680,79583,77375,79483,853740,0.016679671011397,81000,84400,80200,83000,38655276,0.024691358024691468
2021-01-05,2990.57,2943.67,2990.57,2921.84,1520000000.0,0.015700000000000002,985.76,976.43,985.76,965.53,1810000000.0,0.0083,291500,292500,286500,292500,912657,-0.0017064846416382506,78880,79381,77676,78881,748559,-0.007573946630097028,81600,83900,81600,83900,35335669,0.010843373493975905
2021-01-06,2968.21,2993.34,3027.16,2961.37,1790000000.0,-0.0075,981.39,987.25,990.88,977.37,1980000000.0,-0.0044,292500,300500,289500,290000,1375856,-0.008547008547008517,79282,82291,79181,79383,1435715,0.006364016683358509,83300,84500,82100,82200,42089013,-0.020262216924910592
2021-01-07,3031.68,2980.75,3055.28,2980.75,1520000000.0,0.021400000000000002,988.86,983.28,993.91,982.27,2260000000.0,0.0076,288500,292000,286500,289500,1155734,-0.0017241379310344307,80687,80987,78880,80788,775191,0.017699003564995097,82800,84200,82700,82900,32644642,0.008515815085158085
2021-01-08,3152.18,3040.11,3161.11,3040.11,1300000000.0,0.0397,987.79,990.7,995.22,978.12,2560000000.0,-0.0011,293500,312000,290000,312000,3175396,0.07772020725388606,82896,87512,81189,87111,2466715,0.07826657424369965,83300,90000,83000,88800,59013307,0.07117008443908324
2021-01-11,3148.45,3161.9,3266.23,3096.19,1710000000.0,-0.0012,976.63,988.38,993.2,953.36,2200000000.0,-0.0113,320000,323500,301000,309000,2765169,-0.009615384615384581,88515,92929,86106,90924,3157747,0.04377173950476987,90000,96800,89500,91000,90306177,0.024774774774774855
2021-01-12,3125.95,3145.87,3154.79,3047.56,1390000000.0,-0.0070999999999999995,973.72,977.14,982.46,956.72,1740000000.0,-0.003,305000,308500,292500,304000,1573299,-0.016181229773462813,89518,92327,86909,91827,1577872,0.009931371255114119,90300,91400,87800,90600,48682416,-0.00439560439560438
2021-01-13,3148.29,3128.26,3164.37,3109.63,1580000000.0,0.0070999999999999995,979.13,974.14,982.66,972.1,1640000000.0,0.005600000000000001,306000,317500,304000,314000,1894304,0.03289473684210531,92026,92729,90221,91225,806402,-0.006555806026549926,89800,91200,89100,89700,36068848,-0.009933774834437137
2021-01-14,3149.93,3148.65,3159.03,3128.72,1230000000.0,0.0005,980.29,979.1,980.29,973.63,1740000000.0,0.0012,318500,326000,314000,318000,1548585,0.01273885350318471,91123,92929,90321,90623,802076,-0.006599068237873373,88700,90000,88700,89700,26393970,0.0
2021-01-15,3085.9,3153.84,3189.9,3085.9,1330000000.0,-0.0203,964.44,981.72,982.31,963.09,1840000000.0,-0.016200000000000003,320500,323000,305500,306000,1106810,-0.037735849056603765,90722,92127,87611,87813,995726,-0.031007580856956873,89800,91800,88000,88000,33431809,-0.018952062430323324
2021-01-18,3013.93,3079.9,3079.9,3003.89,1470000000.0,-0.0233,944.67,963.18,967.05,940.11,2040000000.0,-0.020499999999999997,304500,308500,300000,300500,864969,-0.017973856209150374,87010,88616,85706,85806,839984,-0.022855385876806356,86600,87300,84100,85000,43227951,-0.03409090909090906
